epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1625.92,0.96693,0.59591,0.99447,0.71469,0.79084,0.73932,0.42905,1.09298,0.57931,0.95064,0.000801406,0.000801406,0.000801406
31,1678.2,0.89968,0.56562,0.95882,0.73519,0.75929,0.77629,0.47739,1.08984,0.5705,0.94855,0.000785938,0.000785938,0.000785938
32,1729.11,0.88251,0.55847,0.96334,0.72016,0.76672,0.74605,0.45199,1.1294,0.56402,0.98212,0.000770469,0.000770469,0.000770469
33,1780.78,0.91004,0.55699,0.97531,0.70265,0.73326,0.72819,0.41805,1.3107,0.61083,1.05567,0.000755,0.000755,0.000755
34,1831.39,0.90726,0.56777,0.96948,0.67421,0.77704,0.72233,0.44822,0.97595,0.53631,0.94451,0.000739531,0.000739531,0.000739531
35,1881.71,0.87029,0.5241,0.96452,0.74722,0.69999,0.7292,0.47432,0.86876,0.48577,0.91502,0.000724062,0.000724062,0.000724062
36,1936.66,0.85981,0.54589,0.95952,0.68741,0.7413,0.70469,0.44536,0.87835,0.49892,0.91614,0.000708594,0.000708594,0.000708594
37,1988.99,0.85139,0.53649,0.95595,0.74366,0.74735,0.77111,0.50128,0.82506,0.46241,0.89206,0.000693125,0.000693125,0.000693125
38,2039.36,0.86016,0.55268,0.94919,0.79392,0.74057,0.74996,0.48444,0.8313,0.47676,0.89809,0.000677656,0.000677656,0.000677656
39,2090.58,0.86486,0.54939,0.94402,0.71004,0.73311,0.77121,0.49025,0.92084,0.52285,0.9285,0.000662188,0.000662188,0.000662188
40,2140.47,0.84062,0.50774,0.94538,0.75266,0.8002,0.78754,0.49223,0.95412,0.49331,0.93021,0.000646719,0.000646719,0.000646719
41,2192.55,0.81836,0.50582,0.94307,0.67526,0.73831,0.70147,0.45853,0.8747,0.50839,0.90421,0.00063125,0.00063125,0.00063125
